date,density,type,manufacturer,part_number,price_usd,pct_change_vs_last_pull,explanation,explanation_source
2026/7/10,1Gb,NAND,Macronix,MX35LF1GE4AB-Z4I,10.64,0,,
2026/7/10,1Gb,NAND,ISSI,IS37SML01G1-LLI,10.7,0,,
2026/7/10,2Gb,NAND,Winbond,W25N02KVZEIR,18.35,0,,
2026/7/10,2Gb,NAND,Macronix,MX35LF2GE4AD-Z4I,14.85,0,,
2026/7/11,128Mb,NOR,Winbond,W25Q128JVSIQ,3.97,0,,
2026/7/11,128Mb,NOR,Macronix,MX25L12833FM2I-10G,5.11,0,,
2026/7/11,128Mb,NOR,GigaDevice,GD25Q128ESIGR,2.18536,0,,
2026/7/11,128Mb,NOR,ISSI,IS25LP128-JBLE,4.66,13.38,,
2026/7/11,64Mb,NOR,Winbond,W25Q64JVSSIQ,2.08,0,,
2026/7/11,64Mb,NOR,Macronix,MX25L6433FM2I-08G,1.76,0,,
2026/7/11,64Mb,NOR,GigaDevice,GD25Q64ESIGR,1.27,0,,
2026/7/11,64Mb,NOR,ISSI,IS25LP064A-JMLE,2.19,0,,
2026/7/11,32Mb,NOR,Winbond,W25Q32JVSSIQ,0.93,0,,
2026/7/11,32Mb,NOR,Macronix,MX25L3233FM2I-08G,1.23,0,,
2026/7/11,32Mb,NOR,GigaDevice,GD25Q32ESIGR,0.99423,0,,
2026/7/11,32Mb,NOR,ISSI,IS25LP032D-JNLE,2.1,20.69,,
2026/7/11,1Gb,NAND,Winbond,W25N01GVZEIG,3.57,0,,
2026/7/11,1Gb,NAND,Macronix,MX35LF1GE4AB-Z4I,10.64,0,,
2026/7/11,1Gb,NAND,ISSI,IS37SML01G1-LLI,12.77,19.35,,
2026/7/11,2Gb,NAND,Winbond,W25N02KVZEIR,18.35,0,,
2026/7/11,2Gb,NAND,Macronix,MX35LF2GE4AD-Z4I,14.85,0,,
2026/7/12,128Mb,NOR,Winbond,W25Q128JVSIQ,3.97,0,,
2026/7/12,128Mb,NOR,Macronix,MX25L12833FM2I-10G,5.11,0,,
2026/7/12,128Mb,NOR,GigaDevice,GD25Q128ESIGR,2.18536,0,,
2026/7/12,128Mb,NOR,ISSI,IS25LP128-JBLE,4.66,0,,
2026/7/12,64Mb,NOR,Winbond,W25Q64JVSSIQ,2.08,0,,
2026/7/12,64Mb,NOR,Macronix,MX25L6433FM2I-08G,1.76,0,,
2026/7/12,64Mb,NOR,GigaDevice,GD25Q64ESIGR,1.27,0,,
2026/7/12,64Mb,NOR,ISSI,IS25LP064A-JMLE,2.19,0,,
2026/7/12,32Mb,NOR,Winbond,W25Q32JVSSIQ,0.93,0,,
2026/7/12,32Mb,NOR,Macronix,MX25L3233FM2I-08G,1.23,0,,
2026/7/12,32Mb,NOR,GigaDevice,GD25Q32ESIGR,0.99423,0,,
2026/7/12,32Mb,NOR,ISSI,IS25LP032D-JNLE,2.1,0,,
2026/7/12,1Gb,NAND,Winbond,W25N01GVZEIG,3.57,0,,
2026/7/12,1Gb,NAND,Macronix,MX35LF1GE4AB-Z4I,10.64,0,,
2026/7/12,1Gb,NAND,ISSI,IS37SML01G1-LLI,12.77,0,,
2026/7/12,2Gb,NAND,Winbond,W25N02KVZEIR,18.35,0,,
2026/7/12,2Gb,NAND,Macronix,MX35LF2GE4AD-Z4I,14.85,0,,
2026/7/13,128Mb,NOR,Winbond,W25Q128JVSIQ,3.97,0,,
2026/7/13,128Mb,NOR,Macronix,MX25L12833FM2I-10G,5.11,0,,
2026/7/13,128Mb,NOR,GigaDevice,GD25Q128ESIGR,2.18536,0,,
2026/7/13,128Mb,NOR,ISSI,IS25LP128-JBLE,4.66,0,,
2026/7/13,64Mb,NOR,Winbond,W25Q64JVSSIQ,2.08,0,,
2026/7/13,64Mb,NOR,Macronix,MX25L6433FM2I-08G,1.76,0,,
2026/7/13,64Mb,NOR,GigaDevice,GD25Q64ESIGR,1.27,0,,
2026/7/13,64Mb,NOR,ISSI,IS25LP064A-JMLE,2.19,0,,
2026/7/13,32Mb,NOR,Winbond,W25Q32JVSSIQ,0.93,0,,
2026/7/13,32Mb,NOR,Macronix,MX25L3233FM2I-08G,1.23,0,,
2026/7/13,32Mb,NOR,GigaDevice,GD25Q32ESIGR,0.99423,0,,
2026/7/13,32Mb,NOR,ISSI,IS25LP032D-JNLE,2.1,0,,
2026/7/13,1Gb,NAND,Winbond,W25N01GVZEIG,3.57,0,,
2026/7/13,1Gb,NAND,Macronix,MX35LF1GE4AB-Z4I,10.64,0,,
2026/7/13,1Gb,NAND,ISSI,IS37SML01G1-LLI,12.77,0,,
2026/7/13,2Gb,NAND,Winbond,W25N02KVZEIR,18.35,0,,
2026/7/13,2Gb,NAND,Macronix,MX35LF2GE4AD-Z4I,14.85,0,,
2026/7/14,128Mb,NOR,Winbond,W25Q128JVSIQ,3.97,0,,
2026/7/14,128Mb,NOR,Macronix,MX25L12833FM2I-10G,5.11,0,,
2026/7/14,128Mb,NOR,GigaDevice,GD25Q128ESIGR,2.18536,0,,
2026/7/14,128Mb,NOR,ISSI,IS25LP128-JBLE,4.66,0,,
2026/7/14,64Mb,NOR,Winbond,W25Q64JVSSIQ,2.08,0,,
2026/7/14,64Mb,NOR,Macronix,MX25L6433FM2I-08G,1.76,0,,
2026/7/14,64Mb,NOR,GigaDevice,GD25Q64ESIGR,1.27,0,,
2026/7/14,64Mb,NOR,ISSI,IS25LP064A-JMLE,2.19,0,,
2026/7/14,32Mb,NOR,Winbond,W25Q32JVSSIQ,0.93,0,,
2026/7/14,32Mb,NOR,Macronix,MX25L3233FM2I-08G,1.23,0,,
2026/7/14,32Mb,NOR,GigaDevice,GD25Q32ESIGR,0.99423,0,,
2026/7/14,32Mb,NOR,ISSI,IS25LP032D-JNLE,2.1,0,,
2026/7/14,1Gb,NAND,Winbond,W25N01GVZEIG,3.57,0,,
2026/7/14,1Gb,NAND,Macronix,MX35LF1GE4AB-Z4I,10.64,0,,
2026/7/14,1Gb,NAND,ISSI,IS37SML01G1-LLI,12.77,0,,
2026/7/14,2Gb,NAND,Winbond,W25N02KVZEIR,18.35,0,,
2026/7/14,2Gb,NAND,Macronix,MX35LF2GE4AD-Z4I,14.85,0,,
2026/7/15,128Mb,NOR,Winbond,W25Q128JVSIQ,3.97,0,,
2026/7/15,128Mb,NOR,Macronix,MX25L12833FM2I-10G,5.11,0,,
2026/7/15,128Mb,NOR,GigaDevice,GD25Q128ESIGR,2.18536,0,,
2026/7/15,128Mb,NOR,ISSI,IS25LP128-JBLE,4.66,0,,
2026/7/15,64Mb,NOR,Winbond,W25Q64JVSSIQ,2.08,0,,
2026/7/15,64Mb,NOR,Macronix,MX25L6433FM2I-08G,1.76,0,,
2026/7/15,64Mb,NOR,GigaDevice,GD25Q64ESIGR,1.27,0,,
2026/7/15,64Mb,NOR,ISSI,IS25LP064A-JMLE,2.19,0,,
2026/7/15,32Mb,NOR,Winbond,W25Q32JVSSIQ,0.93,0,,
2026/7/15,32Mb,NOR,Macronix,MX25L3233FM2I-08G,1.23,0,,
2026/7/15,32Mb,NOR,GigaDevice,GD25Q32ESIGR,0.99423,0,,
2026/7/15,32Mb,NOR,ISSI,IS25LP032D-JNLE,2.1,0,,
2026/7/15,1Gb,NAND,Winbond,W25N01GVZEIG,3.57,0,,
2026/7/15,1Gb,NAND,Macronix,MX35LF1GE4AB-Z4I,10.64,0,,
2026/7/15,1Gb,NAND,ISSI,IS37SML01G1-LLI,12.77,0,,
2026/7/15,2Gb,NAND,Winbond,W25N02KVZEIR,18.35,0,,
2026/7/15,2Gb,NAND,Macronix,MX35LF2GE4AD-Z4I,14.85,0,,
2026/7/16,128Mb,NOR,Winbond,W25Q128JVSIQ,3.97,0,,
2026/7/16,128Mb,NOR,Macronix,MX25L12833FM2I-10G,5.11,0,,
2026/7/16,128Mb,NOR,GigaDevice,GD25Q128ESIGR,2.18536,0,,
2026/7/16,128Mb,NOR,ISSI,IS25LP128-JBLE,4.66,0,,
2026/7/16,64Mb,NOR,Winbond,W25Q64JVSSIQ,2.08,0,,
2026/7/16,64Mb,NOR,Macronix,MX25L6433FM2I-08G,1.76,0,,
2026/7/16,64Mb,NOR,GigaDevice,GD25Q64ESIGR,1.27,0,,
2026/7/16,64Mb,NOR,ISSI,IS25LP064A-JMLE,2.19,0,,
2026/7/16,32Mb,NOR,Winbond,W25Q32JVSSIQ,0.93,0,,
2026/7/16,32Mb,NOR,Macronix,MX25L3233FM2I-08G,1.23,0,,
2026/7/16,32Mb,NOR,GigaDevice,GD25Q32ESIGR,0.99423,0,,
2026/7/16,32Mb,NOR,ISSI,IS25LP032D-JNLE,2.1,0,,
2026/7/16,1Gb,NAND,Winbond,W25N01GVZEIG,3.57,0,,
2026/7/16,1Gb,NAND,Macronix,MX35LF1GE4AB-Z4I,10.64,0,,
2026/7/16,1Gb,NAND,ISSI,IS37SML01G1-LLI,12.77,0,,
2026/7/16,2Gb,NAND,Winbond,W25N02KVZEIR,18.35,0,,
2026/7/16,2Gb,NAND,Macronix,MX35LF2GE4AD-Z4I,14.85,0,,
2026/7/17,128Mb,NOR,Winbond,W25Q128JVSIQ,3.97,0,,
2026/7/17,128Mb,NOR,Macronix,MX25L12833FM2I-10G,5.11,0,,
2026/7/17,128Mb,NOR,GigaDevice,GD25Q128ESIGR,2.18536,0,,
2026/7/17,128Mb,NOR,ISSI,IS25LP128-JBLE,4.66,0,,
2026/7/17,64Mb,NOR,Winbond,W25Q64JVSSIQ,2.08,0,,
2026/7/17,64Mb,NOR,Macronix,MX25L6433FM2I-08G,1.76,0,,
2026/7/17,64Mb,NOR,GigaDevice,GD25Q64ESIGR,1.27,0,,
2026/7/17,64Mb,NOR,ISSI,IS25LP064A-JMLE,2.19,0,,
2026/7/17,32Mb,NOR,Winbond,W25Q32JVSSIQ,0.93,0,,
2026/7/17,32Mb,NOR,Macronix,MX25L3233FM2I-08G,1.23,0,,
2026/7/17,32Mb,NOR,GigaDevice,GD25Q32ESIGR,0.99423,0,,
2026/7/17,32Mb,NOR,ISSI,IS25LP032D-JNLE,2.1,0,,
2026/7/17,1Gb,NAND,Winbond,W25N01GVZEIG,3.57,0,,
2026/7/17,1Gb,NAND,Macronix,MX35LF1GE4AB-Z4I,10.64,0,,
2026/7/17,1Gb,NAND,ISSI,IS37SML01G1-LLI,12.77,0,,
2026/7/17,2Gb,NAND,Winbond,W25N02KVZEIR,18.35,0,,
2026/7/17,2Gb,NAND,Macronix,MX35LF2GE4AD-Z4I,14.85,0,,
2026/7/18,128Mb,NOR,Winbond,W25Q128JVSIQ,3.97,0,,
2026/7/18,128Mb,NOR,Macronix,MX25L12833FM2I-10G,5.11,0,,
2026/7/18,128Mb,NOR,GigaDevice,GD25Q128ESIGR,2.18536,0,,
2026/7/18,128Mb,NOR,ISSI,IS25LP128-JBLE,4.66,0,,
2026/7/18,64Mb,NOR,Winbond,W25Q64JVSSIQ,2.08,0,,
2026/7/18,64Mb,NOR,Macronix,MX25L6433FM2I-08G,1.76,0,,
2026/7/18,64Mb,NOR,GigaDevice,GD25Q64ESIGR,1.27,0,,
2026/7/18,64Mb,NOR,ISSI,IS25LP064A-JMLE,2.19,0,,
2026/7/18,32Mb,NOR,Winbond,W25Q32JVSSIQ,0.93,0,,
2026/7/18,32Mb,NOR,Macronix,MX25L3233FM2I-08G,1.23,0,,
2026/7/18,32Mb,NOR,GigaDevice,GD25Q32ESIGR,0.99423,0,,
2026/7/18,32Mb,NOR,ISSI,IS25LP032D-JNLE,2.1,0,,
2026/7/18,1Gb,NAND,Winbond,W25N01GVZEIG,3.57,0,,
2026/7/18,1Gb,NAND,Macronix,MX35LF1GE4AB-Z4I,10.64,0,,
2026/7/18,1Gb,NAND,ISSI,IS37SML01G1-LLI,12.77,0,,
2026/7/18,2Gb,NAND,Winbond,W25N02KVZEIR,18.35,0,,
2026/7/18,2Gb,NAND,Macronix,MX35LF2GE4AD-Z4I,14.85,0,,
2026/7/19,128Mb,NOR,Winbond,W25Q128JVSIQ,3.97,0,,
2026/7/19,128Mb,NOR,Macronix,MX25L12833FM2I-10G,5.11,0,,
2026/7/19,128Mb,NOR,GigaDevice,GD25Q128ESIGR,2.18536,0,,
2026/7/19,128Mb,NOR,ISSI,IS25LP128-JBLE,4.66,0,,
2026/7/19,64Mb,NOR,Winbond,W25Q64JVSSIQ,2.08,0,,
2026/7/19,64Mb,NOR,Macronix,MX25L6433FM2I-08G,1.76,0,,
2026/7/19,64Mb,NOR,GigaDevice,GD25Q64ESIGR,1.27,0,,
2026/7/19,64Mb,NOR,ISSI,IS25LP064A-JMLE,2.19,0,,
2026/7/19,32Mb,NOR,Winbond,W25Q32JVSSIQ,0.93,0,,
2026/7/19,32Mb,NOR,Macronix,MX25L3233FM2I-08G,1.23,0,,
2026/7/19,32Mb,NOR,GigaDevice,GD25Q32ESIGR,0.99423,0,,
2026/7/19,32Mb,NOR,ISSI,IS25LP032D-JNLE,2.1,0,,
2026/7/19,1Gb,NAND,Winbond,W25N01GVZEIG,3.57,0,,
2026/7/19,1Gb,NAND,Macronix,MX35LF1GE4AB-Z4I,10.64,0,,
2026/7/19,1Gb,NAND,ISSI,IS37SML01G1-LLI,12.77,0,,
2026/7/19,2Gb,NAND,Winbond,W25N02KVZEIR,18.35,0,,
2026/7/19,2Gb,NAND,Macronix,MX35LF2GE4AD-Z4I,14.85,0,,
2026/7/20,128Mb,NOR,Winbond,W25Q128JVSIQ,3.97,0,,
2026/7/20,128Mb,NOR,Macronix,MX25L12833FM2I-10G,5.11,0,,
2026/7/20,128Mb,NOR,GigaDevice,GD25Q128ESIGR,2.18536,0,,
2026/7/20,128Mb,NOR,ISSI,IS25LP128-JBLE,4.66,0,,
2026/7/20,64Mb,NOR,Winbond,W25Q64JVSSIQ,2.08,0,,
2026/7/20,64Mb,NOR,Macronix,MX25L6433FM2I-08G,1.76,0,,
2026/7/20,64Mb,NOR,GigaDevice,GD25Q64ESIGR,1.27,0,,
2026/7/20,64Mb,NOR,ISSI,IS25LP064A-JMLE,2.19,0,,
2026/7/20,32Mb,NOR,Winbond,W25Q32JVSSIQ,0.93,0,,
2026/7/20,32Mb,NOR,Macronix,MX25L3233FM2I-08G,1.23,0,,
2026/7/20,32Mb,NOR,GigaDevice,GD25Q32ESIGR,0.99423,0,,
2026/7/20,32Mb,NOR,ISSI,IS25LP032D-JNLE,2.1,0,,
2026/7/20,1Gb,NAND,Winbond,W25N01GVZEIG,3.57,0,,
2026/7/20,1Gb,NAND,Macronix,MX35LF1GE4AB-Z4I,10.64,0,,
2026/7/20,1Gb,NAND,ISSI,IS37SML01G1-LLI,12.77,0,,
2026/7/20,2Gb,NAND,Winbond,W25N02KVZEIR,18.35,0,,
2026/7/20,2Gb,NAND,Macronix,MX35LF2GE4AD-Z4I,14.85,0,,
2026/7/21,128Mb,NOR,Winbond,W25Q128JVSIQ,3.97,0,,
2026/7/21,128Mb,NOR,Macronix,MX25L12833FM2I-10G,5.11,0,,
2026/7/21,128Mb,NOR,GigaDevice,GD25Q128ESIGR,2.18536,0,,
2026/7/21,128Mb,NOR,ISSI,IS25LP128-JBLE,4.66,0,,
2026/7/21,64Mb,NOR,Winbond,W25Q64JVSSIQ,2.08,0,,
2026/7/21,64Mb,NOR,Macronix,MX25L6433FM2I-08G,1.76,0,,
2026/7/21,64Mb,NOR,GigaDevice,GD25Q64ESIGR,1.27,0,,
2026/7/21,64Mb,NOR,ISSI,IS25LP064A-JMLE,2.19,0,,
2026/7/21,32Mb,NOR,Winbond,W25Q32JVSSIQ,0.93,0,,
2026/7/21,32Mb,NOR,Macronix,MX25L3233FM2I-08G,1.23,0,,
2026/7/21,32Mb,NOR,GigaDevice,GD25Q32ESIGR,0.99423,0,,
2026/7/21,32Mb,NOR,ISSI,IS25LP032D-JNLE,2.1,0,,
2026/7/21,1Gb,NAND,Winbond,W25N01GVZEIG,3.57,0,,
2026/7/21,1Gb,NAND,Macronix,MX35LF1GE4AB-Z4I,10.64,0,,
2026/7/21,1Gb,NAND,ISSI,IS37SML01G1-LLI,12.77,0,,
2026/7/21,2Gb,NAND,Winbond,W25N02KVZEIR,18.35,0,,
2026/7/21,2Gb,NAND,Macronix,MX35LF2GE4AD-Z4I,14.85,0,,
2026/7/22,128Mb,NOR,Winbond,W25Q128JVSIQ,3.97,0,,
2026/7/22,128Mb,NOR,Macronix,MX25L12833FM2I-10G,5.11,0,,
2026/7/22,128Mb,NOR,GigaDevice,GD25Q128ESIGR,2.18536,0,,
2026/7/22,128Mb,NOR,ISSI,IS25LP128-JBLE,4.66,0,,
2026/7/22,64Mb,NOR,Winbond,W25Q64JVSSIQ,2.08,0,,
2026/7/22,64Mb,NOR,Macronix,MX25L6433FM2I-08G,1.76,0,,
2026/7/22,64Mb,NOR,GigaDevice,GD25Q64ESIGR,1.53073,20.53,,
2026/7/22,64Mb,NOR,ISSI,IS25LP064A-JMLE,2.19,0,,
2026/7/22,32Mb,NOR,Winbond,W25Q32JVSSIQ,0.93,0,,
2026/7/22,32Mb,NOR,Macronix,MX25L3233FM2I-08G,1.23,0,,
2026/7/22,32Mb,NOR,GigaDevice,GD25Q32ESIGR,0.99423,0,,
2026/7/22,32Mb,NOR,ISSI,IS25LP032D-JNLE,2.1,0,,
2026/7/22,1Gb,NAND,Winbond,W25N01GVZEIG,3.57,0,,
2026/7/22,1Gb,NAND,Macronix,MX35LF1GE4AB-Z4I,10.64,0,,
2026/7/22,1Gb,NAND,ISSI,IS37SML01G1-LLI,12.77,0,,
2026/7/22,2Gb,NAND,Winbond,W25N02KVZEIR,18.35,0,,
2026/7/22,2Gb,NAND,Macronix,MX35LF2GE4AD-Z4I,14.85,0,,
2026/7/23,128Mb,NOR,Winbond,W25Q128JVSIQ,3.97,0,,
2026/7/23,128Mb,NOR,Macronix,MX25L12833FM2I-10G,5.11,0,,
2026/7/23,128Mb,NOR,GigaDevice,GD25Q128ESIGR,2.18536,0,,
2026/7/23,128Mb,NOR,ISSI,IS25LP128-JBLE,4.66,0,,
2026/7/23,64Mb,NOR,Winbond,W25Q64JVSSIQ,2.08,0,,
2026/7/23,64Mb,NOR,Macronix,MX25L6433FM2I-08G,1.76,0,,
2026/7/23,64Mb,NOR,GigaDevice,GD25Q64ESIGR,1.53073,0,,
2026/7/23,64Mb,NOR,ISSI,IS25LP064A-JMLE,2.19,0,,
2026/7/23,32Mb,NOR,Winbond,W25Q32JVSSIQ,0.93,0,,
2026/7/23,32Mb,NOR,Macronix,MX25L3233FM2I-08G,1.23,0,,
2026/7/23,32Mb,NOR,GigaDevice,GD25Q32ESIGR,0.99423,0,,
2026/7/23,32Mb,NOR,ISSI,IS25LP032D-JNLE,2.1,0,,
2026/7/23,1Gb,NAND,Winbond,W25N01GVZEIG,3.57,0,,
2026/7/23,1Gb,NAND,Macronix,MX35LF1GE4AB-Z4I,10.64,0,,
2026/7/23,1Gb,NAND,ISSI,IS37SML01G1-LLI,12.77,0,,
2026/7/23,2Gb,NAND,Winbond,W25N02KVZEIR,18.35,0,,
2026/7/23,2Gb,NAND,Macronix,MX35LF2GE4AD-Z4I,14.85,0,,
2026/7/24,128Mb,NOR,Winbond,W25Q128JVSIQ,3.97,0,,
2026/7/24,128Mb,NOR,Macronix,MX25L12833FM2I-10G,5.11,0,,
2026/7/24,128Mb,NOR,GigaDevice,GD25Q128ESIGR,2.18536,0,,
2026/7/24,128Mb,NOR,ISSI,IS25LP128-JBLE,4.66,0,,
2026/7/24,64Mb,NOR,Winbond,W25Q64JVSSIQ,2.08,0,,
2026/7/24,64Mb,NOR,Macronix,MX25L6433FM2I-08G,1.76,0,,
2026/7/24,64Mb,NOR,GigaDevice,GD25Q64ESIGR,1.53073,0,,
2026/7/24,64Mb,NOR,ISSI,IS25LP064A-JMLE,2.19,0,,
2026/7/24,32Mb,NOR,Macronix,MX25L3233FM2I-08G,1.23,0,,
2026/7/24,32Mb,NOR,GigaDevice,GD25Q32ESIGR,0.99423,0,,
2026/7/24,32Mb,NOR,ISSI,IS25LP032D-JNLE,2.1,0,,
2026/7/24,1Gb,NAND,Winbond,W25N01GVZEIG,3.57,0,,
2026/7/24,1Gb,NAND,Macronix,MX35LF1GE4AB-Z4I,10.64,0,,
2026/7/24,1Gb,NAND,ISSI,IS37SML01G1-LLI,12.77,0,,
2026/7/24,2Gb,NAND,Winbond,W25N02KVZEIR,18.35,0,,
2026/7/24,2Gb,NAND,Macronix,MX35LF2GE4AD-Z4I,14.85,0,,
2026/7/25,128Mb,NOR,Winbond,W25Q128JVSIQ,3.97,0,,
2026/7/25,128Mb,NOR,Macronix,MX25L12833FM2I-10G,5.11,0,,
2026/7/25,128Mb,NOR,GigaDevice,GD25Q128ESIGR,2.18536,0,,
2026/7/25,128Mb,NOR,ISSI,IS25LP128-JBLE,4.66,0,,
